RECTYPE,LEA,ESTAB,URN,SCHNAME,NFTYPE,FEEDER,ICLOSE,TOT_COHORT,TOT_OVERALL,TOT_APPREN,TOT_EDUCATION,TOT_FE,TOT_HE,TOT_OTHER_EDU,TOT_EMPLOYMENT,TOT_NOT_SUSTAINED,TOT_NOT_CAPTURED,TOT_OVERALLPER,TOT_APPRENPER,TOT_EDUCATIONPER,TOT_FEPER,TOT_HEPER,TOT_OTHER_EDUPER,TOT_EMPLOYMENTPER,TOT_NOT_SUSTAINEDPER,TOT_NOT_CAPTUREDPER,TOT_COHORT_DIS,TOT_OVERALL_DIS,TOT_APPREN_DIS,TOT_EDUCATION_DIS,TOT_FE_DIS,TOT_HE_DIS,TOT_OTHER_EDU_DIS,TOT_EMPLOYMENT_DIS,TOT_NOT_SUSTAINED_DIS,TOT_NOT_CAPTURED_DIS,TOT_OVERALLPER_DIS,TOT_APPRENPER_DIS,TOT_EDUCATIONPER_DIS,TOT_FEPER_DIS,TOT_HEPER_DIS,TOT_OTHER_EDUPER_DIS,TOT_EMPLOYMENTPER_DIS,TOT_NOT_SUSTAINEDPER_DIS,TOT_NOT_CAPTUREDPER_DIS,TOT_COHORT_NONDIS,TOT_OVERALL_NONDIS,TOT_APPREN_NONDIS,TOT_EDUCATION_NONDIS,TOT_FE_NONDIS,TOT_HE_NONDIS,TOT_OTHER_EDU_NONDIS,TOT_EMPLOYMENT_NONDIS,TOT_NOT_SUSTAINED_NONDIS,TOT_NOT_CAPTURED_NONDIS,TOT_OVERALLPER_NONDIS,TOT_APPRENPER_NONDIS,TOT_EDUCATIONPER_NONDIS,TOT_FEPER_NONDIS,TOT_HEPER_NONDIS,TOT_OTHER_EDUPER_NONDIS,TOT_EMPLOYMENTPER_NONDIS,TOT_NOT_SUSTAINEDPER_NONDIS,TOT_NOT_CAPTUREDPER_NONDIS,L3_COHORT,L3_OVERALL,L3_APPREN,L3_EDUCATION,L3_FE,L3_HE,L3_OTHER_EDU,L3_EMPLOYMENT,L3_NOT_SUSTAINED,L3_NOT_CAPTURED,L3_OVERALLPER,L3_APPRENPER,L3_EDUCATIONPER,L3_FEPER,L3_HEPER,L3_OTHER_EDUPER,L3_EMPLOYMENTPER,L3_NOT_SUSTAINEDPER,L3_NOT_CAPTUREDPER,L3_COHORT_DIS,L3_OVERALL_DIS,L3_APPREN_DIS,L3_EDUCATION_DIS,L3_FE_DIS,L3_HE_DIS,L3_OTHER_EDU_DIS,L3_EMPLOYMENT_DIS,L3_NOT_SUSTAINED_DIS,L3_NOT_CAPTURED_DIS,L3_OVERALLPER_DIS,L3_APPRENPER_DIS,L3_EDUCATIONPER_DIS,L3_FEPER_DIS,L3_HEPER_DIS,L3_OTHER_EDUPER_DIS,L3_EMPLOYMENTPER_DIS,L3_NOT_SUSTAINEDPER_DIS,L3_NOT_CAPTUREDPER_DIS,L3_COHORT_NONDIS,L3_OVERALL_NONDIS,L3_APPREN_NONDIS,L3_EDUCATION_NONDIS,L3_FE_NONDIS,L3_HE_NONDIS,L3_OTHER_EDU_NONDIS,L3_EMPLOYMENT_NONDIS,L3_NOT_SUSTAINED_NONDIS,L3_NOT_CAPTURED_NONDIS,L3_OVERALLPER_NONDIS,L3_APPRENPER_NONDIS,L3_EDUCATIONPER_NONDIS,L3_FEPER_NONDIS,L3_HEPER_NONDIS,L3_OTHER_EDUPER_NONDIS,L3_EMPLOYMENTPER_NONDIS,L3_NOT_SUSTAINEDPER_NONDIS,L3_NOT_CAPTUREDPER_NONDIS,L2_COHORT,L2_OVERALL,L2_APPREN,L2_EDUCATION,L2_FE,L2_HE,L2_OTHER_EDU,L2_EMPLOYMENT,L2_NOT_SUSTAINED,L2_NOT_CAPTURED,L2_OVERALLPER,L2_APPRENPER,L2_EDUCATIONPER,L2_FEPER,L2_HEPER,L2_OTHER_EDUPER,L2_EMPLOYMENTPER,L2_NOT_SUSTAINEDPER,L2_NOT_CAPTUREDPER,L2_COHORT_DIS,L2_OVERALL_DIS,L2_APPREN_DIS,L2_EDUCATION_DIS,L2_FE_DIS,L2_HE_DIS,L2_OTHER_EDU_DIS,L2_EMPLOYMENT_DIS,L2_NOT_SUSTAINED_DIS,L2_NOT_CAPTURED_DIS,L2_OVERALLPER_DIS,L2_APPRENPER_DIS,L2_EDUCATIONPER_DIS,L2_FEPER_DIS,L2_HEPER_DIS,L2_OTHER_EDUPER_DIS,L2_EMPLOYMENTPER_DIS,L2_NOT_SUSTAINEDPER_DIS,L2_NOT_CAPTUREDPER_DIS,L2_COHORT_NONDIS,L2_OVERALL_NONDIS,L2_APPREN_NONDIS,L2_EDUCATION_NONDIS,L2_FE_NONDIS,L2_HE_NONDIS,L2_OTHER_EDU_NONDIS,L2_EMPLOYMENT_NONDIS,L2_NOT_SUSTAINED_NONDIS,L2_NOT_CAPTURED_NONDIS,L2_OVERALLPER_NONDIS,L2_APPRENPER_NONDIS,L2_EDUCATIONPER_NONDIS,L2_FEPER_NONDIS,L2_HEPER_NONDIS,L2_OTHER_EDUPER_NONDIS,L2_EMPLOYMENTPER_NONDIS,L2_NOT_SUSTAINEDPER_NONDIS,L2_NOT_CAPTUREDPER_NONDIS,LALLOTH_COHORT,LALLOTH_OVERALL,LALLOTH_APPREN,LALLOTH_EDUCATION,LALLOTH_FE,LALLOTH_HE,LALLOTH_OTHER_EDU,LALLOTH_EMPLOYMENT,LALLOTH_NOT_SUSTAINED,LALLOTH_NOT_CAPTURED,LALLOTH_OVERALLPER,LALLOTH_APPRENPER,LALLOTH_EDUCATIONPER,LALLOTH_FEPER,LALLOTH_HEPER,LALLOTH_OTHER_EDUPER,LALLOTH_EMPLOYMENTPER,LALLOTH_NOT_SUSTAINEDPER,LALLOTH_NOT_CAPTUREDPER,LALLOTH_COHORT_DIS,LALLOTH_OVERALL_DIS,LALLOTH_APPREN_DIS,LALLOTH_EDUCATION_DIS,LALLOTH_FE_DIS,LALLOTH_HE_DIS,LALLOTH_OTHER_EDU_DIS,LALLOTH_EMPLOYMENT_DIS,LALLOTH_NOT_SUSTAINED_DIS,LALLOTH_NOT_CAPTURED_DIS,LALLOTH_OVERALLPER_DIS,LALLOTH_APPRENPER_DIS,LALLOTH_EDUCATIONPER_DIS,LALLOTH_FEPER_DIS,LALLOTH_HEPER_DIS,LALLOTH_OTHER_EDUPER_DIS,LALLOTH_EMPLOYMENTPER_DIS,LALLOTH_NOT_SUSTAINEDPER_DIS,LALLOTH_NOT_CAPTUREDPER_DIS,LALLOTH_COHORT_NONDIS,LALLOTH_OVERALL_NONDIS,LALLOTH_APPREN_NONDIS,LALLOTH_EDUCATION_NONDIS,LALLOTH_FE_NONDIS,LALLOTH_HE_NONDIS,LALLOTH_OTHER_EDU_NONDIS,LALLOTH_EMPLOYMENT_NONDIS,LALLOTH_NOT_SUSTAINED_NONDIS,LALLOTH_NOT_CAPTURED_NONDIS,LALLOTH_OVERALLPER_NONDIS,LALLOTH_APPRENPER_NONDIS,LALLOTH_EDUCATIONPER_NONDIS,LALLOTH_FEPER_NONDIS,LALLOTH_HEPER_NONDIS,LALLOTH_OTHER_EDUPER_NONDIS,LALLOTH_EMPLOYMENTPER_NONDIS,LALLOTH_NOT_SUSTAINEDPER_NONDIS,LALLOTH_NOT_CAPTUREDPER_NONDIS
1,202,4000,137181,The UCL Academy,AC,0,0,132,113,3,96,4,92,0,14,11,8,86%,2%,73%,3%,70%,0%,11%,8%,6%,59,SUPP,SUPP,SUPP,SUPP,SUPP,0,SUPP,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP,7%,SUPP,73,SUPP,SUPP,SUPP,SUPP,SUPP,0,SUPP,7,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0%,SUPP,10%,SUPP,131,113,3,96,4,92,0,14,10,8,86%,2%,73%,3%,70%,0%,11%,8%,6%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,202,4104,100049,Haverstock School,CY,0,0,116,96,4,85,5,79,1,7,14,6,83%,3%,73%,4%,68%,1%,6%,12%,5%,58,47,SUPP,39,SUPP,37,SUPP,SUPP,8,3,81%,SUPP,67%,SUPP,64%,SUPP,SUPP,14%,5%,58,49,SUPP,46,SUPP,42,SUPP,SUPP,6,3,84%,SUPP,79%,SUPP,72%,SUPP,SUPP,10%,5%,108,92,3,84,5,79,0,5,11,5,85%,3%,78%,5%,73%,0%,5%,10%,5%,53,45,SUPP,SUPP,SUPP,37,0,SUPP,SUPP,SUPP,85%,SUPP,SUPP,SUPP,70%,0%,SUPP,SUPP,SUPP,55,47,SUPP,SUPP,SUPP,42,0,SUPP,SUPP,SUPP,85%,SUPP,SUPP,SUPP,76%,0%,SUPP,SUPP,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,1,1,0,0,1,2,3,1,50%,13%,13%,0%,0%,13%,25%,38%,13%,5,SUPP,SUPP,SUPP,0,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0%,0%,SUPP,SUPP,SUPP,SUPP,3,SUPP,SUPP,SUPP,0,0,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,0%,0%,SUPP,SUPP,SUPP,SUPP
1,202,4166,100050,Parliament Hill School,CY,1,0,166,137,3,100,7,92,1,34,21,8,83%,2%,60%,4%,55%,1%,20%,13%,5%,73,57,1,48,SUPP,SUPP,SUPP,8,11,5,78%,1%,66%,SUPP,SUPP,SUPP,11%,15%,7%,93,80,2,52,SUPP,SUPP,SUPP,26,10,3,86%,2%,56%,SUPP,SUPP,SUPP,28%,11%,3%,158,134,2,100,7,92,1,32,18,6,85%,1%,63%,4%,58%,1%,20%,11%,4%,68,SUPP,SUPP,48,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,71%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,90,SUPP,SUPP,52,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,58%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,202,4196,100051,Regent High School,CY,0,0,85,75,1,66,4,61,1,8,6,4,88%,1%,78%,5%,72%,1%,9%,7%,5%,59,54,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,92%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,26,21,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,81%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,81,73,1,66,4,61,1,6,4,4,90%,1%,81%,5%,75%,1%,7%,5%,5%,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,202,4275,100052,Hampstead School,CY,0,0,136,110,7,86,8,76,2,17,17,9,81%,5%,63%,6%,56%,1%,13%,13%,7%,64,51,5,42,SUPP,36,SUPP,4,9,4,80%,8%,66%,SUPP,56%,SUPP,6%,14%,6%,72,59,2,44,SUPP,40,SUPP,13,8,5,82%,3%,61%,SUPP,56%,SUPP,18%,11%,7%,122,102,5,84,6,76,2,13,12,8,84%,4%,69%,5%,62%,2%,11%,10%,7%,57,47,SUPP,41,SUPP,36,SUPP,SUPP,SUPP,SUPP,82%,SUPP,72%,SUPP,63%,SUPP,SUPP,SUPP,SUPP,65,55,SUPP,43,SUPP,40,SUPP,SUPP,SUPP,SUPP,85%,SUPP,66%,SUPP,62%,SUPP,SUPP,SUPP,SUPP,8,4,0,1,1,0,0,3,3,1,50%,0%,13%,13%,0%,0%,38%,38%,13%,3,SUPP,0,SUPP,SUPP,0,0,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,0%,0%,SUPP,SUPP,SUPP,5,SUPP,0,SUPP,SUPP,0,0,SUPP,SUPP,SUPP,SUPP,0%,SUPP,SUPP,0%,0%,SUPP,SUPP,SUPP,6,4,2,1,1,0,0,1,2,0,67%,33%,17%,17%,0%,0%,17%,33%,0%,4,SUPP,SUPP,SUPP,SUPP,0,0,SUPP,SUPP,0,SUPP,SUPP,SUPP,SUPP,0%,0%,SUPP,SUPP,0%,2,SUPP,SUPP,SUPP,SUPP,0,0,SUPP,SUPP,0,SUPP,SUPP,SUPP,SUPP,0%,0%,SUPP,SUPP,0%
1,202,5401,100059,La Sainte Union Catholic Secondary School,VA,1,0,113,104,4,75,5,70,0,25,5,4,92%,4%,66%,4%,62%,0%,22%,4%,4%,30,28,1,22,SUPP,SUPP,0,5,SUPP,SUPP,93%,3%,73%,SUPP,SUPP,0%,17%,SUPP,SUPP,83,76,3,53,SUPP,SUPP,0,20,SUPP,SUPP,92%,4%,64%,SUPP,SUPP,0%,24%,SUPP,SUPP,107,100,1,75,5,70,0,24,4,3,93%,1%,70%,5%,65%,0%,22%,4%,3%,28,26,SUPP,22,SUPP,SUPP,0,SUPP,SUPP,SUPP,93%,SUPP,79%,SUPP,SUPP,0%,SUPP,SUPP,SUPP,79,74,SUPP,53,SUPP,SUPP,0,SUPP,SUPP,SUPP,94%,SUPP,67%,SUPP,SUPP,0%,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,202,8018,130403,WM College,Specialist Designated College,0,0,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,202,8045,130421,Capital City College,General Further Education College,0,0,3862,2672,110,1685,443,1227,15,877,850,340,69%,3%,44%,11%,32%,SP,23%,22%,9%,1699,1119,45,689,131,550,8,385,442,138,66%,3%,41%,8%,32%,SP,23%,26%,8%,2163,1553,65,996,312,677,7,492,408,202,72%,3%,46%,14%,31%,SP,23%,19%,9%,2558,2043,65,1429,220,1199,10,549,378,137,80%,3%,56%,9%,47%,SP,21%,15%,5%,1144,896,24,624,81,538,5,248,194,54,78%,2%,55%,7%,47%,SP,22%,17%,5%,1414,1147,41,805,139,661,5,301,184,83,81%,3%,57%,10%,47%,SP,21%,13%,6%,573,312,23,121,103,15,3,168,189,72,54%,4%,21%,18%,3%,1%,29%,33%,13%,280,123,12,34,26,SUPP,SUPP,77,118,39,44%,4%,12%,9%,SUPP,SUPP,28%,42%,14%,293,189,11,87,77,SUPP,SUPP,91,71,33,65%,4%,30%,26%,SUPP,SUPP,31%,24%,11%,731,317,22,135,120,13,2,160,283,131,43%,3%,18%,16%,2%,SP,22%,39%,18%,275,100,9,31,24,SUPP,SUPP,60,130,45,36%,3%,11%,9%,SUPP,SUPP,22%,47%,16%,456,217,13,104,96,SUPP,SUPP,100,153,86,48%,3%,23%,21%,SUPP,SUPP,22%,34%,19%
1,202,4285,100053,Acland Burghley School,CY,1,0,138,109,2,64,12,51,1,43,17,12,79%,1%,46%,9%,37%,1%,31%,12%,9%,49,40,SUPP,31,SUPP,28,SUPP,SUPP,5,4,82%,SUPP,63%,SUPP,57%,SUPP,SUPP,10%,8%,89,69,SUPP,33,SUPP,23,SUPP,SUPP,12,8,78%,SUPP,37%,SUPP,26%,SUPP,SUPP,13%,9%,130,105,1,63,12,51,0,41,16,9,81%,1%,48%,9%,39%,0%,32%,12%,7%,46,37,SUPP,SUPP,SUPP,28,0,SUPP,SUPP,SUPP,80%,SUPP,SUPP,SUPP,61%,0%,SUPP,SUPP,SUPP,84,68,SUPP,SUPP,SUPP,23,0,SUPP,SUPP,SUPP,81%,SUPP,SUPP,SUPP,27%,0%,SUPP,SUPP,SUPP,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,4,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
1,202,4611,100054,The Camden School for Girls,VA,0,0,216,186,1,145,19,116,10,40,18,12,86%,SP,67%,9%,54%,5%,19%,8%,6%,27,22,SUPP,16,1,13,2,SUPP,1,4,81%,SUPP,59%,4%,48%,7%,SUPP,4%,15%,189,164,SUPP,129,18,103,8,SUPP,17,8,87%,SUPP,68%,10%,54%,4%,SUPP,9%,4%,209,183,0,145,19,116,10,38,16,10,88%,0%,69%,9%,56%,5%,18%,8%,5%,25,SUPP,0,16,1,13,2,SUPP,SUPP,4,SUPP,0%,64%,4%,52%,8%,SUPP,SUPP,16%,184,SUPP,0,129,18,103,8,SUPP,SUPP,6,SUPP,0%,70%,10%,56%,4%,SUPP,SUPP,3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,1,0,0,0,0,2,2,2,43%,14%,0%,0%,0%,0%,29%,29%,29%,2,SUPP,SUPP,0,0,0,0,SUPP,SUPP,SUPP,SUPP,SUPP,0%,0%,0%,0%,SUPP,SUPP,SUPP,5,SUPP,SUPP,0,0,0,0,SUPP,SUPP,SUPP,SUPP,SUPP,0%,0%,0%,0%,SUPP,SUPP,SUPP
1,202,4652,100055,Maria Fidelis Catholic School FCJ,VA,0,0,54,44,1,40,1,36,3,3,4,6,81%,2%,74%,2%,67%,6%,6%,7%,11%,28,23,SUPP,22,SUPP,21,SUPP,SUPP,SUPP,SUPP,82%,SUPP,79%,SUPP,75%,SUPP,SUPP,SUPP,SUPP,26,21,SUPP,18,SUPP,15,SUPP,SUPP,SUPP,SUPP,81%,SUPP,69%,SUPP,58%,SUPP,SUPP,SUPP,SUPP,51,43,0,40,1,36,3,3,3,5,84%,0%,78%,2%,71%,6%,6%,6%,10%,27,SUPP,0,22,SUPP,21,SUPP,SUPP,SUPP,SUPP,SUPP,0%,81%,SUPP,78%,SUPP,SUPP,SUPP,SUPP,24,SUPP,0,18,SUPP,15,SUPP,SUPP,SUPP,SUPP,SUPP,0%,75%,SUPP,63%,SUPP,SUPP,SUPP,SUPP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,1,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,2,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP,SUPP
